customerID,tenure,MonthlyCharges,TotalCharges,churn_probability,risk_segment
5542-TBBWB,1,69.9,69.9,0.9520729,Critical Risk
7439-DKZTW,1,80.55,80.55,0.94653046,Critical Risk
7577-SWIFR,1,89.25,89.25,0.94146925,Critical Risk
4060-LDNLU,7,96.2,639.7,0.93763167,Critical Risk
7465-ZZRVX,1,70.35,70.35,0.935642,Critical Risk
1452-VOQCH,1,75.1,75.1,0.9352053,Critical Risk
4912-PIGUY,1,84.6,84.6,0.9314888,Critical Risk
8161-QYMTT,7,94.1,701.3,0.9236801,Critical Risk
1640-PLFMP,1,70.25,70.25,0.9223036,Critical Risk
2262-SLNVK,1,70.1,70.1,0.92156225,Critical Risk
4234-XTNEA,2,79.95,174.45,0.9165056,Critical Risk
3318-NMQXL,3,92.0,266.8,0.91590416,Critical Risk
3338-CVVEH,12,94.55,1173.55,0.9085036,Critical Risk
8040-MNRTF,1,71.1,71.1,0.9082484,Critical Risk
3878-AVSOQ,1,71.25,71.25,0.9076591,Critical Risk
9617-INGJY,1,70.6,70.6,0.9076086,Critical Risk
9603-OAIHC,1,70.05,70.05,0.9066232,Critical Risk
1628-BIZYP,1,85.0,85.0,0.9059793,Critical Risk
2019-HDCZY,63,102.6,6296.75,0.9026363,Critical Risk
2545-EBUPK,2,84.05,186.05,0.9006667,Critical Risk
2789-HQBOU,3,80.35,253.8,0.89987534,Critical Risk
9432-VOFYX,17,70.8,1207.0,0.8991142,Critical Risk
8775-ERLNB,1,74.3,74.3,0.89883476,Critical Risk
9605-WGJVW,1,70.2,70.2,0.89834034,Critical Risk
5032-MIYKT,1,70.7,70.7,0.8981513,Critical Risk
1766-GKNMI,29,84.9,2516.2,0.89547575,Critical Risk
4273-MBHYA,1,89.35,89.35,0.8935296,Critical Risk
1508-DFXCU,12,81.45,912.0,0.89290136,Critical Risk
8739-XNIKG,5,84.0,424.75,0.89229006,Critical Risk
9360-OMDZZ,24,94.1,2322.85,0.89123416,Critical Risk
5382-SOYZL,22,95.1,2162.6,0.888774,Critical Risk
5628-FCGYG,21,84.1,1737.45,0.8884122,Critical Risk
6229-LSCKB,6,79.7,497.6,0.8881509,Critical Risk
2754-SDJRD,8,100.15,908.55,0.88708746,Critical Risk
7858-GTZSP,12,86.55,1066.9,0.88556546,Critical Risk
4927-WWOOZ,2,91.45,171.45,0.88543165,Critical Risk
5150-ITWWB,3,94.85,335.75,0.8839839,Critical Risk
1200-TUZHR,8,85.2,695.75,0.88355404,Critical Risk
2876-GZYZC,13,85.95,1215.65,0.88340473,Critical Risk
2215-ZAFGX,9,85.5,791.7,0.881978,Critical Risk
4847-TAJYI,6,89.35,567.8,0.8817002,Critical Risk
4115-NZRKS,7,89.15,574.35,0.8804045,Critical Risk
6357-JJPQT,3,80.5,232.35,0.87944627,Critical Risk
4445-ZJNMU,9,99.3,918.75,0.87865746,Critical Risk
7365-BVCJH,1,24.4,24.4,0.8781009,Critical Risk
6918-UMQCG,5,80.2,384.25,0.8773144,Critical Risk
9450-TRJUU,35,83.15,2848.45,0.8766458,Critical Risk
7823-JSOAG,3,74.5,217.45,0.8745764,Critical Risk
2897-DOVND,2,69.8,146.65,0.8738435,Critical Risk
5222-IMUKT,32,91.05,2871.5,0.8725529,Critical Risk
9717-QEBGU,2,70.3,144.0,0.8714293,Critical Risk
6215-NQCPY,15,99.7,1566.75,0.87105626,Critical Risk
3453-RTHJQ,6,69.1,435.0,0.8699341,Critical Risk
4291-SHSBH,7,69.55,521.35,0.8699341,Critical Risk
8309-IEYJD,1,70.6,70.6,0.86780655,Critical Risk
1219-NNDDO,9,76.85,663.55,0.86608917,Critical Risk
5043-TRZWM,1,75.55,75.55,0.86417973,Critical Risk
6986-IXNDM,14,92.9,1337.45,0.8641637,Critical Risk
0021-IKXGC,1,72.1,72.1,0.86054623,Critical Risk
3030-YDNRM,8,74.85,572.45,0.8603819,Critical Risk
7392-YYPYJ,22,100.65,2415.95,0.8594284,Critical Risk
6137-NICCO,6,94.05,518.75,0.85823494,Critical Risk
8270-RKSAP,9,70.5,597.9,0.8580418,Critical Risk
9743-DQKQW,3,25.1,79.8,0.8572309,Critical Risk
9506-UXUSK,13,70.15,931.75,0.856554,Critical Risk
9494-MRNYX,10,75.05,786.3,0.8561869,Critical Risk
2501-XWWTZ,11,70.2,760.05,0.85572004,Critical Risk
7586-ZATGZ,40,84.9,3369.05,0.85506916,Critical Risk
7398-SKNQZ,3,94.9,273.2,0.8548507,Critical Risk
7504-UWHNB,25,69.75,1729.35,0.8547726,Critical Risk
6185-TASNN,1,46.3,46.3,0.8499039,Critical Risk
3717-OEAUQ,2,70.7,129.2,0.8498177,Critical Risk
5928-QLDHB,9,76.25,684.85,0.84932154,Critical Risk
0921-OHLVP,22,83.05,1799.3,0.84894395,Critical Risk
2831-EBWRN,4,45.9,199.75,0.8484783,Critical Risk
3320-VEOYC,14,95.6,1273.3,0.846735,Critical Risk
2018-QKYGT,1,81.05,81.05,0.84596264,Critical Risk
3384-CTMSF,47,104.1,5135.15,0.84436536,Critical Risk
0899-LIIBW,34,100.85,3527.3,0.84395796,Critical Risk
7354-OIJLX,9,75.85,724.65,0.84324026,Critical Risk
6175-IRFIT,5,78.75,426.35,0.84130317,Critical Risk
5501-TVMGM,1,55.25,55.25,0.8412033,Critical Risk
0491-KAPQG,21,73.7,1558.7,0.83768517,Critical Risk
0187-QSXOE,7,89.0,605.45,0.8365675,Critical Risk
3422-GALYP,2,79.45,145.15,0.83639646,Critical Risk
8875-AKBYH,20,84.35,1745.2,0.8356717,Critical Risk
2985-FMWYF,23,93.5,2341.55,0.8347241,Critical Risk
7394-LWLYN,2,70.15,123.8,0.83466405,Critical Risk
5019-GQVCR,43,84.85,3645.6,0.83450615,Critical Risk
3496-LFSZU,4,70.5,294.2,0.8331599,Critical Risk
4706-DGAHW,1,45.2,45.2,0.8330747,Critical Risk
4301-VVZKA,16,75.4,1189.4,0.83274126,Critical Risk
4132-KALRO,4,100.85,399.25,0.83271736,Critical Risk
0432-CAJZV,3,90.7,237.65,0.8323786,Critical Risk
4685-ERGHK,57,86.9,4939.25,0.83131397,Critical Risk
9696-RMYBA,5,80.1,398.55,0.8289109,Critical Risk
3489-HHPFY,2,84.05,134.05,0.8288327,Critical Risk
2254-DLXRI,1,79.15,79.15,0.8282113,Critical Risk
3955-JBZZM,20,78.8,1641.3,0.82754624,Critical Risk
6362-QHAFM,42,108.3,4586.15,0.8272524,Critical Risk
3587-PMCOY,10,98.9,1064.95,0.8272028,Critical Risk
4090-KPJIP,3,74.95,212.4,0.8269528,Critical Risk
5133-POWUA,1,45.8,45.8,0.826908,Critical Risk
9244-ZVAPM,1,45.6,45.6,0.8259366,Critical Risk
1302-UHBDD,20,89.95,1648.45,0.825658,Critical Risk
6077-BDPXA,3,70.15,194.2,0.82502156,Critical Risk
7245-NIIWQ,3,69.85,199.85,0.8246659,Critical Risk
9633-XQABV,3,70.25,229.7,0.8246659,Critical Risk
2688-BHGOG,9,79.55,718.55,0.8243903,Critical Risk
3841-CONLJ,1,35.0,35.0,0.82424927,Critical Risk
6158-HDPXZ,1,25.35,25.35,0.82397115,Critical Risk
9957-YODKZ,6,80.8,457.1,0.8220213,Critical Risk
4482-EWFMI,2,69.7,135.2,0.82186365,Critical Risk
4395-PZMSN,5,85.55,408.5,0.8213758,Critical Risk
5442-BHQNG,2,70.35,139.25,0.8208702,Critical Risk
3439-GVUSX,1,24.4,24.4,0.8206265,Critical Risk
0928-XUTSN,13,80.5,1011.8,0.81898814,Critical Risk
1941-HOSAM,1,90.1,90.1,0.8185768,Critical Risk
7994-UYIVZ,8,85.65,659.45,0.81846404,Critical Risk
6557-BZXLQ,16,69.65,1043.3,0.8181028,Critical Risk
8705-WZCYL,1,44.8,44.8,0.8151925,Critical Risk
4373-VVHQL,1,44.75,44.75,0.8151925,Critical Risk
1942-OQFRW,1,44.0,44.0,0.8128688,Critical Risk
8132-YPVBX,6,85.95,514.6,0.8126843,Critical Risk
7181-OQCUT,21,103.85,2215.0,0.8123477,Critical Risk
5288-AHOUP,11,78.5,874.2,0.8116473,Critical Risk
8541-QVFKM,8,73.5,632.2,0.8110136,Critical Risk
3199-XGZCY,8,75.25,576.7,0.8110136,Critical Risk
3714-NTNFO,49,84.5,3906.7,0.8108287,Critical Risk
3462-BJQQA,6,89.75,552.65,0.8102185,Critical Risk
2038-OEQZH,4,86.05,308.1,0.80954844,Critical Risk
6856-RAURS,2,74.9,136.05,0.80938345,Critical Risk
5144-TVGLP,38,94.75,3653.0,0.80921143,Critical Risk
8849-AYPTR,33,91.25,2964.05,0.80834436,Critical Risk
6212-ATMLK,50,95.7,4729.75,0.80807096,Critical Risk
8990-ZXLSU,9,69.05,651.5,0.80697817,Critical Risk
8622-ZLFKO,6,90.75,512.25,0.80649805,Critical Risk
9822-OAOVB,1,55.45,55.45,0.805568,Critical Risk
6630-UJZMY,4,83.25,308.05,0.8054951,Critical Risk
7855-DIWPO,21,68.65,1493.2,0.80397743,Critical Risk
5879-SESNB,11,75.25,888.65,0.8037592,Critical Risk
0396-YCHWO,36,95.4,3474.2,0.80362535,Critical Risk
9840-EFJQB,1,74.35,74.35,0.8017714,Critical Risk
3370-HXOPH,3,76.1,257.6,0.8013107,Critical Risk
7402-EYFXX,26,93.6,2404.1,0.8005774,Critical Risk
2920-RNCEZ,1,69.95,69.95,0.7997881,Critical Risk
3566-HJGPK,1,45.55,45.55,0.79953074,Critical Risk
4450-DLLMH,2,71.3,157.75,0.7981748,Critical Risk
9402-ORRAH,15,91.5,1400.3,0.7970606,Critical Risk
6350-XFYGW,4,94.75,422.4,0.7968561,Critical Risk
0674-EYYZV,1,54.65,54.65,0.7943001,Critical Risk
2740-TVLFN,1,50.15,50.15,0.7931111,Critical Risk
4195-NZGTA,1,25.25,25.25,0.7927765,Critical Risk
9903-LYSAB,18,73.15,1305.95,0.792107,Critical Risk
5543-QDCRY,4,56.4,234.85,0.7919245,Critical Risk
1769-GRUIK,18,71.1,1247.75,0.79171646,Critical Risk
8272-ONJLV,12,95.7,1184.0,0.79157907,Critical Risk
5153-RTHKF,34,85.35,2896.6,0.7912336,Critical Risk
7363-QTBIW,9,79.75,769.1,0.79073316,Critical Risk
6127-IYJOZ,1,45.85,45.85,0.7907041,Critical Risk
3317-VLGQT,14,78.1,1122.4,0.7904817,Critical Risk
4884-ZTHVF,8,87.1,713.6,0.78975236,Critical Risk
1335-NTIUC,9,24.95,190.25,0.78892136,Critical Risk
1197-BVMVG,4,74.45,294.45,0.78788924,Critical Risk
3096-GKWEB,18,94.75,1691.9,0.7871656,Critical Risk
3223-DWFIO,4,69.35,261.65,0.7868418,Critical Risk
7952-OBOYL,3,89.85,244.45,0.786538,Critical Risk
7321-VGNKU,2,70.35,120.25,0.7860193,Critical Risk
4749-OJKQU,4,75.65,302.35,0.7841556,Critical Risk
1393-IMKZG,1,95.85,95.85,0.78357345,Critical Risk
7315-WYOAW,13,100.75,1313.25,0.7834739,Critical Risk
1226-IENZN,16,78.75,1218.25,0.78331804,Critical Risk
6198-ZFIOJ,5,75.6,402.5,0.7830073,Critical Risk
4869-EPIUS,56,80.9,4557.5,0.782945,Critical Risk
0840-DFEZH,7,75.35,564.65,0.782568,Critical Risk
1475-VWVDO,7,74.9,490.55,0.7824578,Critical Risk
4983-CCWMC,3,69.6,207.4,0.78123444,Critical Risk
4029-HPFVY,3,70.3,220.4,0.78123444,Critical Risk
0018-NYROU,5,68.95,351.5,0.7786707,Critical Risk
0644-OQMDK,4,70.65,293.85,0.7784907,Critical Risk
6988-CJEYV,49,98.7,4920.55,0.778223,Critical Risk
9334-GWGOW,7,74.85,485.25,0.7781339,Critical Risk
1016-DJTSV,8,69.7,572.85,0.7768528,Critical Risk
4633-MKHYU,9,88.4,788.6,0.7766962,Critical Risk
7901-TBKJX,56,101.05,5594.0,0.7763897,Critical Risk
8720-RQSBJ,1,44.0,44.0,0.77560765,Critical Risk
2077-MPJQO,7,75.4,533.05,0.7748966,Critical Risk
2371-JQHZZ,24,93.0,2248.05,0.7741292,Critical Risk
2800-QQUSO,42,100.3,4222.95,0.77360374,Critical Risk
2123-AGEEN,7,84.35,609.65,0.77310354,Critical Risk
8630-FJLIB,18,69.8,1221.65,0.77136827,Critical Risk
2103-ZRXFN,1,50.75,50.75,0.7710961,Critical Risk
0365-BZUWY,17,102.55,1742.5,0.770044,Critical Risk
5016-IBERQ,23,84.25,1968.1,0.7697053,Critical Risk
6994-KERXL,4,55.9,238.5,0.7687521,Critical Risk
9290-SHCMB,13,96.85,1235.55,0.7680505,Critical Risk
4727-MCYZG,1,55.55,55.55,0.76766557,Critical Risk
5226-NOZFC,26,85.75,2146.5,0.7676419,Critical Risk
4559-UWIHT,14,82.65,1185.0,0.767091,Critical Risk
9885-AIBVB,29,85.8,2440.25,0.7669635,Critical Risk
5935-FCCNB,17,94.2,1608.15,0.76613605,Critical Risk
2604-IJPDU,20,96.55,1901.65,0.76578486,Critical Risk
5348-CAGXB,12,89.55,1021.75,0.765609,Critical Risk
6260-ONULR,1,62.8,62.8,0.7655643,Critical Risk
9773-PEQBZ,10,79.85,797.25,0.7653674,Critical Risk
0928-JMXNP,4,29.9,118.25,0.76507515,Critical Risk
1751-NCDLI,46,98.85,4564.9,0.7649443,Critical Risk
4062-HBMOS,52,103.05,5364.8,0.76246226,Critical Risk
5399-ZIMKF,5,74.65,383.65,0.7622663,Critical Risk
2800-VEQXM,3,74.75,238.1,0.7616207,Critical Risk
1173-XZPYF,11,89.2,990.3,0.7571914,Critical Risk
3956-MGXOG,28,80.6,2244.95,0.7550461,Critical Risk
0430-IHCDJ,15,49.0,749.25,0.75434506,Critical Risk
2504-DSHIH,23,86.8,1975.85,0.75370425,Critical Risk
5117-IFGPS,29,84.3,2357.75,0.7536295,Critical Risk
2275-RBYQS,1,45.4,45.4,0.7532302,Critical Risk
9050-IKDZA,2,81.5,162.55,0.7518764,Critical Risk
5129-JLPIS,25,105.5,2686.05,0.7509692,Critical Risk
8950-MTZNV,1,44.95,44.95,0.7503514,Critical Risk
8710-YGLWG,1,44.9,44.9,0.7503514,Critical Risk
0082-LDZUE,1,44.3,44.3,0.7503514,Critical Risk
6860-YRJZP,9,74.05,678.45,0.750141,Critical Risk
8033-VCZGH,50,103.95,5231.3,0.74938136,Critical Risk
1357-BIJKI,50,98.25,4858.7,0.74928886,Critical Risk
5858-EAFCZ,1,44.45,44.45,0.74908084,Critical Risk
4146-SVFUD,1,44.6,44.6,0.74908084,Critical Risk
7801-KICAO,18,74.15,1345.75,0.74608725,Critical Risk
8242-SOQUO,5,84.7,392.5,0.74502295,Critical Risk
5968-VXZLG,2,46.6,87.9,0.7449488,Critical Risk
8107-KNCIM,14,75.1,1013.35,0.74416417,Critical Risk
9094-AZPHK,15,100.15,1415.0,0.74407405,Critical Risk
7754-IXRMC,1,45.35,45.35,0.7423887,Critical Risk
7252-NTGSS,1,45.15,45.15,0.7423887,Critical Risk
6582-OIVSP,1,45.3,45.3,0.7423887,Critical Risk
5429-LWCMV,12,89.15,1057.55,0.7420346,Critical Risk
0225-ZORZP,3,84.3,235.05,0.7412943,Critical Risk
5895-QSXOD,9,70.05,657.5,0.7406226,Critical Risk
9620-ENEJV,6,70.55,433.95,0.7405303,Critical Risk
3420-YJLQT,2,79.55,151.75,0.7401818,Critical Risk
0722-SVSFK,7,100.4,715.0,0.7395017,Critical Risk
6435-SRWBJ,5,82.75,417.75,0.73948264,Critical Risk
7318-EIVKO,8,59.25,436.6,0.73911643,Critical Risk
5956-YHHRX,21,104.35,2271.85,0.73889726,Critical Risk
7537-RBWEA,1,25.15,25.15,0.7388189,Critical Risk
0196-JTUQI,9,75.2,633.85,0.7385923,Critical Risk
4367-NHWMM,1,24.9,24.9,0.7374099,Critical Risk
7272-QDCKA,28,100.2,2688.45,0.73721915,Critical Risk
3797-FKOGQ,11,86.2,893.2,0.7372158,Critical Risk
7901-HXJVA,14,76.45,1117.55,0.73682415,Critical Risk
8325-QRPZR,7,75.15,525.0,0.7368113,Critical Risk
1855-AGAWH,31,93.8,2939.8,0.7359893,Critical Risk
4770-UEZOX,2,74.75,144.8,0.7350894,Critical Risk
2905-KFQUV,2,70.4,154.8,0.7348768,Critical Risk
8648-PFRMP,14,46.35,672.7,0.7347108,Critical Risk
1478-VPOAD,1,43.8,43.8,0.73425186,Critical Risk
6519-CFDBX,2,45.4,80.95,0.733283,Critical Risk
4537-DKTAL,2,45.55,84.4,0.73195654,Critical Risk
4612-SSVHJ,20,81.45,1671.6,0.73089993,Critical Risk
7975-TZMLR,47,103.1,4889.3,0.7307587,Critical Risk
3001-UNBTL,29,103.95,2964.8,0.73075086,Critical Risk
6969-MVBAI,9,90.1,816.8,0.72990495,Critical Risk
9741-YLNTD,6,87.95,522.35,0.7296076,Critical Risk
6496-JDSSB,8,80.0,624.6,0.729285,Critical Risk
7718-RXDGG,15,68.6,1108.6,0.72926503,Critical Risk
2862-PFNIK,1,24.7,24.7,0.72833675,Critical Risk
2832-KJCRD,38,103.65,3988.5,0.72763073,Critical Risk
5339-PXDVH,4,90.65,367.95,0.72736025,Critical Risk
8087-LGYHQ,9,94.05,811.65,0.7270691,Critical Risk
9895-VFOXH,1,24.4,24.4,0.7261261,Critical Risk
7233-DRTRF,63,102.4,6444.05,0.72492266,Critical Risk
7206-PQBBZ,11,70.2,834.7,0.7235201,Critical Risk
0988-JRWWP,3,54.2,140.4,0.7233745,Critical Risk
2135-DQWAQ,5,85.3,420.45,0.72309685,Critical Risk
7225-CBZPL,17,94.8,1563.9,0.7216116,Critical Risk
2235-DWLJU,6,44.4,263.05,0.7209272,Critical Risk
3914-FDRHP,9,86.25,770.5,0.7208984,Critical Risk
3966-HRMZA,3,75.05,202.9,0.7207306,Critical Risk
5405-ZMYXQ,8,74.6,548.9,0.7205995,Critical Risk
1666-JXLKU,37,100.05,3810.55,0.72038746,Critical Risk
8189-XRIKE,32,90.95,2897.95,0.71690166,Critical Risk
9003-CPATH,42,79.9,3313.4,0.7163849,Critical Risk
6507-ZJSUR,23,90.45,2117.25,0.71558744,Critical Risk
4998-IKFSE,30,100.45,3096.9,0.7155194,Critical Risk
0480-BIXDE,19,96.8,1743.05,0.71543384,Critical Risk
9643-AVVWI,3,80.0,241.3,0.7146738,Critical Risk
9919-KNPOO,21,94.3,1948.35,0.71422267,Critical Risk
2373-NTKOD,8,66.25,546.45,0.71282965,Critical Risk
9355-NPPFS,26,78.8,2006.1,0.7128211,Critical Risk
7044-YAACC,4,70.2,280.35,0.71250397,Critical Risk
4223-WOZCM,2,49.95,107.1,0.71248543,Critical Risk
5989-PGKJB,16,86.25,1340.1,0.71168226,Critical Risk
7018-WBJNK,13,78.3,1033.95,0.711373,Critical Risk
2880-FPNAE,2,74.2,140.1,0.71043676,Critical Risk
8873-GLDMH,6,73.85,401.3,0.71040434,Critical Risk
6537-OTKMY,15,50.75,688.2,0.7100435,Critical Risk
8993-IZEUX,7,69.15,488.65,0.70985526,Critical Risk
2984-AFWNC,3,95.4,293.15,0.709316,Critical Risk
1746-TGTWV,1,75.35,75.35,0.7086958,Critical Risk
6719-OXYBR,15,85.3,1219.85,0.7085908,Critical Risk
9214-EKVXR,1,44.0,44.0,0.7083422,Critical Risk
3518-PZXZQ,1,55.3,55.3,0.7073641,Critical Risk
8974-OVACP,1,20.15,20.15,0.7071645,Critical Risk
5119-NZPTV,2,70.1,141.65,0.70714235,Critical Risk
0248-IPDFW,1,50.1,50.1,0.7066482,Critical Risk
8356-WUAOJ,1,45.0,45.0,0.70514804,Critical Risk
3420-ZDBMA,5,71.45,371.6,0.70504695,Critical Risk
6851-WEFYX,35,100.8,3437.5,0.70422035,Critical Risk
8819-IMISP,31,80.45,2429.1,0.7040191,Critical Risk
4686-UXDML,21,99.85,1992.55,0.70397866,Critical Risk
6692-YQHXC,16,69.95,1205.5,0.7027129,Critical Risk
2208-UGTGR,56,98.6,5581.05,0.7025723,Critical Risk
4236-UJPWO,2,24.5,46.4,0.70117843,Critical Risk
1960-UYCNN,10,95.25,1021.55,0.7008502,Critical Risk
2465-BLLEU,1,19.75,19.75,0.6999966,High Risk
7096-UCLNH,1,20.05,20.05,0.6999966,High Risk
2369-FEVNO,1,19.9,19.9,0.6999966,High Risk
3785-NRHYR,1,19.65,19.65,0.6999966,High Risk
6286-SUUWT,1,19.95,19.95,0.6999966,High Risk
3930-ZGWVE,1,19.75,19.75,0.6999966,High Risk
3030-ZKIWL,1,20.05,20.05,0.6999966,High Risk
8749-CLJXC,1,20.05,20.05,0.6999966,High Risk
4661-NJEUX,1,20.05,20.05,0.6999966,High Risk
7698-YFGEZ,1,20.0,20.0,0.6999966,High Risk
0958-YHXGP,7,69.9,497.3,0.69981885,High Risk
7339-POGZN,4,50.7,214.55,0.6987664,High Risk
0620-DLSLK,13,81.9,1028.9,0.6986213,High Risk
4815-GBTCD,4,25.15,99.95,0.6986098,High Risk
2674-MIAHT,4,80.3,324.2,0.6982994,High Risk
9272-LSVYH,10,70.15,735.5,0.6982619,High Risk
2672-OJQZP,1,44.75,44.75,0.6981346,High Risk
6339-YPSAH,9,73.8,704.3,0.6962327,High Risk
0168-XZKBB,19,86.85,1564.4,0.6956676,High Risk
4566-NECEV,5,96.55,500.1,0.6941702,High Risk
2478-EEWWM,59,44.3,2666.75,0.6934118,High Risk
9979-RGMZT,7,94.05,633.45,0.69340724,High Risk
0434-CSFON,47,100.5,4707.1,0.6930889,High Risk
2799-ARNLO,5,69.35,341.6,0.6921934,High Risk
7748-UMTRK,30,101.3,2974.5,0.6916676,High Risk
5351-QESIO,1,24.2,24.2,0.6906636,High Risk
9058-MJLZC,24,94.6,2283.15,0.69057995,High Risk
5934-RMPOV,22,84.75,1816.75,0.6900372,High Risk
6704-UTUKK,29,45.9,1332.4,0.68969464,High Risk
1845-ZLLIG,1,50.15,50.15,0.6895755,High Risk
0315-LVCRK,11,84.8,888.75,0.68930465,High Risk
0508-OOLTO,2,71.65,135.75,0.6887115,High Risk
5760-IFJOZ,3,107.95,313.6,0.688246,High Risk
3428-MMGUB,60,89.55,5231.2,0.6877545,High Risk
5906-BFOZT,1,19.5,19.5,0.68772703,High Risk
7601-WFVZV,1,19.55,19.55,0.68772703,High Risk
5365-LLFYV,2,45.85,105.6,0.6866261,High Risk
3629-ZNKXA,17,101.8,1752.45,0.68607557,High Risk
7517-LDMPS,12,84.6,1017.35,0.6858683,High Risk
2080-GKCWQ,2,74.95,151.75,0.684092,High Risk
3413-BMNZE,1,45.25,45.25,0.6835515,High Risk
8714-CTZJW,4,82.85,319.6,0.68346536,High Risk
7064-FRRSW,48,99.0,4744.35,0.6829783,High Risk
8903-XEBGX,2,55.3,108.65,0.68229574,High Risk
8800-JOOCF,12,84.05,966.55,0.681652,High Risk
7426-RHZGU,9,95.9,827.45,0.68110913,High Risk
3069-SSVSN,1,25.85,25.85,0.6808069,High Risk
3295-YVUSR,2,72.6,154.3,0.68069863,High Risk
0093-EXYQL,40,91.55,3673.6,0.6805074,High Risk
9799-CAYJJ,2,69.3,153.8,0.6799514,High Risk
3191-CSNMG,3,80.7,239.45,0.6794817,High Risk
6705-LXORM,5,70.05,302.6,0.67868835,High Risk
2927-QRRQV,46,94.65,4312.5,0.6777593,High Risk
6599-SFQVE,6,55.0,340.4,0.67726356,High Risk
6243-OZGFH,23,44.95,996.85,0.6770759,High Risk
5216-WASFJ,31,84.85,2633.4,0.6768323,High Risk
8313-NDOIA,24,104.15,2494.65,0.67621815,High Risk
1307-ATKGB,24,89.55,2187.15,0.67613983,High Risk
1777-JYQPJ,2,24.3,38.45,0.6746931,High Risk
